uid_itemgroup,oid_itemgroup,uid_item,oid_item,order_number,mandatory,key_sequence,method_oid,imputation_method_oid,role,role_codelist_oid,collection_exception_condition_oid
G.DM.IC,G.DM.IC,I.STUDYID,I.STUDYID,1,TRUE,,,,,,
G.DM.IC,G.DM.IC,I.RFICDAT,I.RFICDAT,2,TRUE,,,,,,
G.DM.IC,G.DM.IC,I.RFICTIM,I.RFICTIM,3,TRUE,,,,,,
G.DM.IC,G.DM.IC,I.RFICDATLAR1,I.RFICDATLAR1,4,FALSE,,,,,,
G.DM.IC,G.DM.IC,I.RFICTIMLAR1,I.RFICTIMLAR1,5,FALSE,,,,,,
G.DM.IC,G.DM.IC,I.RFICDATLAR2,I.RFICDATLAR2,6,FALSE,,,,,,
G.DM.IC,G.DM.IC,I.RFICTIMLAR2,I.RFICTIMLAR2,7,FALSE,,,,,,
G.DM.DM,G.DM.DM,I.BRTHDTCARGUS,I.BRTHDTCARGUS,1,TRUE,,,,,,
G.DM.DM,G.DM.DM,I.BRTHDTC,I.BRTHDTC,2,TRUE,,,,,,
G.DM.DM,G.DM.DM,I.AGE,I.AGE,3,TRUE,,,,,,
G.DM.DM,G.DM.DM,I.SEX,I.SEX,4,FALSE,,,,,,
G.DM.DM,G.DM.DM,I.SEXDEA,I.SEXDEA,5,TRUE,,,,,,
G.DM.DM,G.DM.DM,I.ETHNIC,I.ETHNIC,6,TRUE,,,,,,
G.DM.DM,G.DM.DM,I.RACE,I.RACE,7,TRUE,,,,,,
G.DM.DM,G.DM.DM,I.RACEOTH,I.RACEOTH,8,FALSE,,,,,,
G.DM.DM,G.DM.DM,I.SUBJID,I.SUBJID,9,TRUE,,,,,,
G.DM.DM,G.DM.DM,I.PREVSUBJ,I.PREVSUBJ,10,FALSE,,,,,,
G.MH.NS,G.MH.NS,I.STUDYID,I.STUDYID,1,TRUE,,,,,,
G.MH.NS,G.MH.NS,I.SUBJID,I.SUBJID,2,TRUE,,,,,,
G.VS.VS,G.VS.VS,I.STUDYID,I.STUDYID,1,TRUE,,,,,,
G.VS.VS,G.VS.VS,I.SUBJID,I.SUBJID,2,TRUE,,,,,,
G.VS.VS,G.VS.VS,I.VSDAT,I.VSDAT,3,TRUE,,,,,,
G.VS.BPP,G.VS.BPP,I.SYSBP,I.SYSBP,1,TRUE,,,,,,
G.VS.BPP,G.VS.BPP,I.DIABP,I.DIABP,2,TRUE,,,,,,
G.VS.BPP,G.VS.BPP,I.POSITION,I.POSITION,3,TRUE,,,,,,
G.VS.BPP,G.VS.BPP,I.LATERALITY,I.LATERALITY,4,TRUE,,,,,,
G.VS.BPP,G.VS.BPP,I.LOC,I.LOC,5,TRUE,,,,,,
G.VS.BPP,G.VS.BPP,I.PULSE,I.PULSE,6,TRUE,,,,,,