concept_id,Preferred synonym,Preferred synonym in sentence case,Abbreviation,Fully specified name,legacy_name,legacy_comment
13644009,Hypercholesterolemia,hypercholesterolemia,,Hypercholesterolemia (disorder),Hypercholesterolaemia,Hypercholesterolaemia is a condition where cholesterol levels are elevated
16872008,Severe hereditary factor VIII deficiency disease,severe hereditary factor VIII deficiency disease,,Severe hereditary factor VIII deficiency disease (disorder),Severe haemophilia A,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein. 

Severe hemophilia:  Percentage of normal factor activity in blood is;  less than 1%

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=649"
16922007,Hereditary coagulation factor deficiency,hereditary coagulation factor deficiency,,Hereditary coagulation factor deficiency (disorder),Haemophilia B,"Hemophilia B, also called factor IX (FIX) deficiency or Christmas disease, is a genetic disorder caused by missing or defective factor IX, a clotting protein.


Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=652"
26929004,Alzheimer's disease,alzheimer's disease,AD,Alzheimer's disease (disorder),Alzheimer's Disease,"A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language. (NCI)"
28293008,Hereditary factor VIII deficiency disease,hereditary factor VIII deficiency disease,,Hereditary factor VIII deficiency disease (disorder),Haemophilia A,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein.

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=646"
41788008,Hereditary factor IX deficiency disease,hereditary factor IX deficiency disease,,Hereditary factor IX deficiency disease (disorder),Haemophilia B,"Hemophilia B, also called factor IX (FIX) deficiency or Christmas disease, is a genetic disorder caused by missing or defective factor IX, a clotting protein.


Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=652"
44054006,Type 2 diabetes mellitus,type 2 diabetes mellitus,T2DM,Diabetes mellitus type 2 (disorder),Type 2 Diabetes mellitus,"A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity. (NCI)
"
46635009,Type 1 Diabetes mellitus,type 1 diabetes mellitus,T1DM,Diabetes mellitus type 1 (disorder),Type 1 Diabetes mellitus,Type 1 diabetes mellitus
49601007,Disorder of cardiovascular system,disorder of cardiovascular system,CVD,Disorder of cardiovascular system (disorder),Cardiovascular Disease,"A type of disease that affects the heart or blood vessels. The risk of certain cardiovascular diseases may be increased by smoking, high blood pressure, high cholesterol, unhealthy diet, lack of exercise, and obesity. The most common cardiovascular disease is coronary artery disease (narrow or blocked coronary arteries), which can lead to chest pain, heart attacks, or stroke. Other cardiovascular diseases include congestive heart failure, heart rhythm problems, congenital heart disease (heart disease at birth), and endocarditis (inflamed inner layer of the heart). Also called heart disease. (NCI)"
55822004,Hyperlipidemia,hyperlipidemia,,Hyperlipidemia (disorder),Hypercholesterolaemia,Hypercholesterolaemia is a condition where cholesterol levels are elevated
64572001,Disease,disease,,Disease (disorder),Obesity,Obesity
69896004,Rheumatoid arthritis,rheumatoid arthritis,RA,Rheumatoid arthritis (disorder),Rheumatoid arthritis,"Rheumatoid arthritis (RA) - the autoimmune disease that results in a chronic, systemic inflammatory disorder that may affect many tissues and organs, but principally attacks flexible (synovial) joints. It can be a disabling and painful condition, which can lead to substantial loss of functioning and mobility if not adequately treated (wikipedia)."
73211009,Diabetes mellitus,diabetes mellitus,DM,Diabetes mellitus (disorder),Type 2 Diabetes mellitus,"A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity. (NCI)
"
74728003,Hypopituitarism,hypopituitarism,,Hypopituitarism (disorder),Growth Hormone Deficiency Children,"Growth hormone deficiency (GHD) is a medical condition, caused by problems arising in the pituitary gland, in which the body does not produce enough growth hormone (GH). Growth hormone, also called somatropin, is a polypeptide hormone which stimulates growth and cell reproduction."
84114007,Heart failure,heart failure,HF,Heart failure (disorder),Heart Failure Preserved Eject Fraction,HFpEF (Heart Failure with Preserved Ejection Fraction).
85828009,Autoimmune disease,autoimmune disease,,Autoimmune disease (disorder),Rheumatoid arthritis,"Rheumatoid arthritis (RA) - the autoimmune disease that results in a chronic, systemic inflammatory disorder that may affect many tissues and organs, but principally attacks flexible (synovial) joints. It can be a disabling and painful condition, which can lead to substantial loss of functioning and mobility if not adequately treated (wikipedia)."
90708001,Kidney disease,kidney disease,,Kidney disease (disorder),Renal impairment,"Impared Renal Function
"
197315008,Non-alcoholic fatty liver,non-alcoholic fatty liver,NAFLD,Non-alcoholic fatty liver (disorder),Nonalcoholic steatohepatitis,"Nonalcoholic fatty liver disease (NAFLD) is a condition in which fat builds up in your liver. 
Nonalcoholic steatohepatitis (NASH) is a type of NAFLD. If you have NASH, you have inflammation and liver cell damage, along with fat in your liver."
234440005,Factor VIII deficiency,factor VIII deficiency,,Factor VIII deficiency (disorder),Haemophilia A,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein.

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=646"
234442002,Hereditary factor VIII deficiency disease with inhibitor,hereditary factor VIII deficiency disease with inhibitor,,Hereditary factor VIII deficiency disease with inhibitor (disorder),Haemophilia A with inhibitor,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein. 

Inhibitors are a serious medical problem that can occur when a person with hemophilia has an immune response to treatment with clotting factor concentrates. 

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=648"
236423003,Renal impairment,renal impairment,,Renal impairment (disorder),Renal impairment,"Impared Renal Function
"
267258002,Small for gestational age fetus,small for gestational age fetus,SGA,Small for gestational age fetus (disorder),Small for gestational age fetus,"Small for gestational age is a term used to describe a baby who is smaller than the usual size for the number of weeks of pregnancy. SGA babies usually have birthweights below the 10th percentile for babies of the same gestational age.

SGA babies may appear physically and neurologically mature but are smaller than other babies of the same gestational age. SGA babies may be proportionately small (equally small all over) or they may be of normal length and size but have lower weight and body mass. SGA babies may be premature (born before 37 weeks of pregnancy), full term (37 to 41 weeks), or post term (after 42 weeks of pregnancy).

Description of SGA found here: http://www.stanfordchildrens.org/en/topic/default?id=small-for-gestational-age-90-P02411"
276604007,Fetal growth abnormality,fetal growth abnormality,,Fetal growth abnormality (disorder),Small for gestational age fetus,"Small for gestational age is a term used to describe a baby who is smaller than the usual size for the number of weeks of pregnancy. SGA babies usually have birthweights below the 10th percentile for babies of the same gestational age.

SGA babies may appear physically and neurologically mature but are smaller than other babies of the same gestational age. SGA babies may be proportionately small (equally small all over) or they may be of normal length and size but have lower weight and body mass. SGA babies may be premature (born before 37 weeks of pregnancy), full term (37 to 41 weeks), or post term (after 42 weeks of pregnancy).

Description of SGA found here: http://www.stanfordchildrens.org/en/topic/default?id=small-for-gestational-age-90-P02411"
279982005,Cerebral degeneration presenting primarily with dementia,cerebral degeneration presenting primarily with dementia,,Cerebral degeneration presenting primarily with dementia (disorder),Alzheimer's Disease,"A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language. (NCI)"
362965005,Disorder of body system,disorder of body system,,Disorder of body system (disorder),Cardiovascular Disease,"A type of disease that affects the heart or blood vessels. The risk of certain cardiovascular diseases may be increased by smoking, high blood pressure, high cholesterol, unhealthy diet, lack of exercise, and obesity. The most common cardiovascular disease is coronary artery disease (narrow or blocked coronary arteries), which can lead to chest pain, heart attacks, or stroke. Other cardiovascular diseases include congestive heart failure, heart rhythm problems, congenital heart disease (heart disease at birth), and endocarditis (inflamed inner layer of the heart). Also called heart disease. (NCI)"
397827003,Growth hormone deficiency,growth hormone deficiency,GHD,"Growth hormone deficiency (disorder)
",Adult Growth Hormone Deficiency,"Growth hormone deficiency (GHD) is a medical condition, caused by problems arising in the pituitary gland, in which the body does not produce enough growth hormone (GH). Growth hormone, also called somatropin, is a polypeptide hormone which stimulates growth and cell reproduction.

GH DEFICIENCY in the human adult most com.monly results from pituitary or peripituitary tumors and their treatment.
"
414916001,Obesity,obesity,,Obesity (disorder),Obesity,Obesity
416417002,Hereditary hemoglobin S,hereditary hemoglobin S,,Hereditary hemoglobin S (disorder),Sickle Cell Disease,"Sickle Cell Disease is an inherited disease in which the red blood cells have an abnormal crescent shape, block small blood vessels, and do not last as long as normal red blood cells. Sickle cell disease is caused by a mutation (change) in one of the genes for hemoglobin (the substance inside red blood cells that binds to oxygen and carries it from the lungs to the tissues). It is most common in people of West and Central African descent. Also called sickle cell anemia. (NCI)"
417357006,Sickling disorder due to hemoglobin S,sickling disorder due to hemoglobin S,,Sickling disorder due to hemoglobin S (disorder),Sickle Cell Disease,"Sickle Cell Disease is an inherited disease in which the red blood cells have an abnormal crescent shape, block small blood vessels, and do not last as long as normal red blood cells. Sickle cell disease is caused by a mutation (change) in one of the genes for hemoglobin (the substance inside red blood cells that binds to oxygen and carries it from the lungs to the tissues). It is most common in people of West and Central African descent. Also called sickle cell anemia. (NCI)"
421684006,Adult growth hormone deficiency,adult growth hormone deficiency,,"Adult growth hormone deficiency (disorder)
",Adult Growth Hormone Deficiency,"Growth hormone deficiency (GHD) is a medical condition, caused by problems arising in the pituitary gland, in which the body does not produce enough growth hormone (GH). Growth hormone, also called somatropin, is a polypeptide hormone which stimulates growth and cell reproduction.

GH DEFICIENCY in the human adult most com.monly results from pituitary or peripituitary tumors and their treatment.
"
438360006,Hereditary factor VIII deficiency disease without inhibitor,hereditary factor VIII deficiency disease without inhibitor,,Hereditary factor VIII deficiency disease without inhibitor (disorder),Haemophilia A without inhibitor,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein. 

Inhibitors are a serious medical problem that can occur when a person with hemophilia has an immune response to treatment with clotting factor concentrates. 

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=647
"
438372000,Hereditary factor IX deficiency disease with inhibitor,hereditary factor IX deficiency disease with inhibitor,,Hereditary factor IX deficiency disease with inhibitor (disorder),Haemophilia B with inhibitor,"Hemophilia B, also called factor IX (FIX) deficiency or Christmas disease, is a genetic disorder caused by missing or defective factor IX, a clotting protein.

Inhibitors are a serious medical problem that can occur when a person with hemophilia has an immune response to treatment with clotting factor concentrates. 

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=654"
438373005,Severe hereditary factor VIII deficiency disease with inhibitor,severe hereditary factor VIII deficiency disease with inhibitor,,Severe hereditary factor VIII deficiency disease with inhibitor (disorder),Severe haemophilia A with inhibitor,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein. 

Inhibitors are a serious medical problem that can occur when a person with hemophilia has an immune response to treatment with clotting factor concentrates. 

Severe hemophilia:  Percentage of normal factor activity in blood is;  less than 1%

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=651"
438792009,Hereditary factor IX deficiency disease without inhibitor,hereditary factor IX deficiency disease without inhibitor,,Hereditary factor IX deficiency disease without inhibitor (disorder),Haemophilia B without inhibitor,"Hemophilia B, also called factor IX (FIX) deficiency or Christmas disease, is a genetic disorder caused by missing or defective factor IX, a clotting protein.

Inhibitors are a serious medical problem that can occur when a person with hemophilia has an immune response to treatment with clotting factor concentrates. 

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=653"
440993008,Severe hereditary factor VIII deficiency disease without inhibitor,severe hereditary factor VIII deficiency disease without inhibitor,,Severe hereditary factor VIII deficiency disease without inhibitor (disorder),Severe haemophilia A without inhibitor,"Hemophilia A, also called factor VIII (FVIII) deficiency or classic hemophilia, is a genetic disorder caused by missing or defective factor VIII, a clotting protein. 

Inhibitors are a serious medical problem that can occur when a person with hemophilia has an immune response to treatment with clotting factor concentrates. 

Severe hemophilia:  Percentage of normal factor activity in blood is;  less than 1%

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=650"
441190003,Severe hereditary factor IX deficiency disease without inhibitor,severe hereditary factor IX deficiency disease without inhibitor,,Severe hereditary factor IX deficiency disease without inhibitor (disorder),Severe haemophilia B without inhibitor,"Hemophilia B, also called factor IX (FIX) deficiency or Christmas disease, is a genetic disorder caused by missing or defective factor IX, a clotting protein.

Inhibitors are a serious medical problem that can occur when a person with hemophilia has an immune response to treatment with clotting factor concentrates. 

Severe hemophilia:  Percentage of normal factor activity in blood is;  less than 1%

Description of Haemophilia was found here:

https://www.hemophilia.org/Bleeding-Disorders/Types-of-Bleeding-Disorders 

https://www.wfh.org/en/page.aspx?pid=656"
442685003,Nonalcoholic steatohepatitis,nonalcoholic steatohepatitis,NASH,Nonalcoholic steatohepatitis (disorder),Nonalcoholic steatohepatitis,"Nonalcoholic fatty liver disease (NAFLD) is a condition in which fat builds up in your liver. 
Nonalcoholic steatohepatitis (NASH) is a type of NAFLD. If you have NASH, you have inflammation and liver cell damage, along with fat in your liver."
446221000,Heart failure with normal ejection fraction,heart failure with normal ejection fraction,HFpEF,Heart failure with normal ejection fraction (disorder),Heart Failure Preserved Eject Fraction,HFpEF (Heart Failure with Preserved Ejection Fraction).
609564002,Pre-existing type 1 diabetes mellitus in pregnancy,pre-existing type 1 diabetes mellitus in pregnancy,,"Pre-existing type 1 diabetes mellitus in pregnancy (disorder)
",Pre-existing Type 1 DM in Pregnancy,"Pre-existing Type 1 Diabetes mellitus in Pregnancy
"
