TOPIC_CD,adam_param_code,SDTM_DOMAIN,activity,activity_instance,specimen,legacy_description,sub_domain_class,GENERAL_DOMAIN_CLASS
AB_CON_0113_0217_SE,ABC217,LB,Anti-Semaglutide Antibody Confirmation,Anti-Semaglutide Antibody Confirmation,SERUM,Anti NNC 0113-0217 antibodies (confirmation)_x000D_,CATEGORIC FINDING,FINDINGS
AB_CON_0148_0287_SE,ABC287,LB,Anti-insulin icodec binding antibodies confirmation,Anti-insulin icodec Binding Antibodies Confirmation Serum,SERUM,Confirmation of the anti-insulin icodec binding antibody response (negative or positive) in serum.,CATEGORIC FINDING,FINDINGS
AB_CR_0148_0287_SE,ABR287,LB,Anti-insulin icodec antibodies cross-reacting,Anti-insulin icodec Antibodies Cross-Reacting Serum,SERUM,A measurement of the antibodies cross-reacting with insulin icodec in serum.,CATEGORIC FINDING,FINDINGS
AB_CR_GLP1_SE,ABRGLP1,LB,Antibodies cross reacting native GLP-1,Antibodies cross reacting native GLP-1,SERUM,Antibodies cross reacting with native GLP-1_x000D_,CATEGORIC FINDING,FINDINGS
AB_TIT_0113_0217_SE,ABT217,LB,Semaglutide Antibodies (Titer),Semaglutide Antibodies (Titer),SERUM,Anti-NNC 0113-0217 antibodies (titer)_x000D_,NUMERIC FINDING,FINDINGS
AB_TIT_0148_0287_SE,ABT287,LB,Anti-insulin icodec antibodies titre,Anti-insulin icodec Antibodies Titre Serum,SERUM,A measurement of the strength of the anti-insulin icodec binding antibody response (titre) in serum.,NUMERIC FINDING,FINDINGS
ACUTE KIDNEY INJURY,AKI,CE,Acute Kidney Injury,Acute Kidney Injury,,Acute Kidney Injury_x000D_,PERIODIC,EVENTS
ACUTE_KIDNEY_INJURY_ACUTE_URINARY_TRACT_INFECTION,AKIAURIN,FA,Acute Kidney Injury - Acute Urinary Tract Infection,Acute Kidney Injury - Acute Urinary Tract Infection,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Acute urinary tract infection",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_AMINOGLYCOSIDE,AKIAMINO,FA,Acute Kidney Injury - Aminoglycoside(s),Acute Kidney Injury -  Aminoglycoside(s),,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months._x000D_
Aminoglycoside(s)",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_CHRONIC_URINARY_TRACT_INFECTION,AKICURIN,FA,Acute Kidney Injury - Chronic Urinary Tract Infection,Acute Kidney Injury - Chronic Urinary Tract Infection,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Chronic urinary tract infection",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_CONDITIONS,AKICONDI,FA,Acute Kidney Injury - Conditions,Acute Kidney Injury - Conditions,,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event,CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_CONDITIONS_OTHER,AKICONOT,FA,Acute Kidney Injury - Conditions Other,Acute Kidney Injury - Conditions Other,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Other, specify",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_CONNECTIVE_TISSUE_DISEASE_OR_VASCULITIS,AKICTDIV,FA,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Connective tissue disease or vasculitis",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_CT_SCAN,AKICTSCA,FA,Acute Kidney Injury - CT Scan Performed,Acute Kidney Injury - CT Scan Performed,,"Acute Kidney Injury: Was imaging performed in relation to the event: _x000D_
CT Scan",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_FAMILY_HISTORY,AKIFAMHI,FA,Acute Kidney Injury - Family History of Kidney Disease,Acute Kidney Injury - Family History of Kidney Disease,,Acute Kidney Injury: Is there any family history of kidney disease,CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_HYPERTENSION,AKIHYPER,FA,Acute Kidney Injury - Hypertension,Acute Kidney Injury - Hypertension,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Hypertension",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_IMAGING_OTHER,AKIIMOTH,FA,Acute Kidney Injury - Other Imaging Performed,Acute Kidney Injury - Other Imaging Performed,,"Acute Kidney Injury: Was imaging performed in relation to the event: Other, specify",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_IMAGING_PERFORMED,AKIIMAGE,FA,Acute Kidney Injury - Imaging Performed,Acute Kidney Injury - Imaging Performed,,Acute Kidney Injury: Was imaging performed in relation to the event,CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_IMAGING_RESULTS,AKIHISTO,FA,Acute Kidney Injury - Summary of Imaging Results,Acute Kidney Injury - Summary of Imaging Results,,Acute Kidney Injury: Was imaging performed in relation to the event. Summary of imaging results,TEXTUAL FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_INCREASE_SERUM_CREATININE_WITHIN_48_HOURS,AKISC48S,FA,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,SERUM,"Acute Kidney Injury: How did the event present itself. _x000D_
Increase in serum creatinine >= 0.3 mg/dL within 48 hours",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_INCREASE_SERUM_CREATININE_WITHIN_7_DAYS,AKISCIDS,FA,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,SERUM,"Acute Kidney Injury: How did the event present itself. _x000D_
Increase in serum creatinine to >= 1.5 times baseline within 7 days",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_INITIATION_OF_RAS_BLOCKADE,AKIRASBL,FA,Acute Kidney Injury - Initiation of RAS Blockade,Acute Kidney Injury - Initiation of RAS Blockade,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:_x000D_
Initiation of RAS Blockade",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_IV_CONTRAST,AKIIVCON,FA,Acute Kidney Injury - IV Contrast,Acute Kidney Injury - IV Contrast,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:_x000D_
IV Contrast",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_KIDNEY_BIOPSY_HISTOLOGY_RESULTS,AKIBIHIS,FA,Acute Kidney Injury - Summary of Biopsy Histology Results,Acute Kidney Injury - Summary of Biopsy Histology Results,,Acute Kidney Injury: Summery of histology results from kidney biopsy,TEXTUAL FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_KIDNEY_BIOPSY_PERFORMED,AKIBIOPS,FA,Acute Kidney Injury - Kidney Biopsy Performed,Acute Kidney Injury - Kidney Biopsy Performed,,Acute Kidney Injury: Was kidney biopsy performed in relation to the event,CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_NEPHROTOXIC_TREATMENT_LAST_3_MONTHS,AKINDA3M,FA,Acute Kidney Injury - Nephrotoxic Treatment Received within Last 3 Months,Acute Kidney Injury - Nephrotoxic Treatment Received within Last 3 Months,,Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months,CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_NEPHROTOXIC_TREATMENT_OTHER,AKINDAOT,FA,Acute Kidney Injury - Nephrotoxic Treatment Other,Acute Kidney Injury - Nephrotoxic Treatment Other,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:_x000D_
Nephrotoxic treatment other",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_NSAID,AKINSAID,FA,Acute Kidney Injury - NSAIDs,Acute Kidney Injury - NSAIDs,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:_x000D_
Nonsteroidal anti-inflammatory drugs (NSAIDs)",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_POST-RENAL_OBSTRUCTIVE_DISEASE,AKIPROBS,FA,Acute Kidney Injury - Post-renal Obstructive Disease,Acute Kidney Injury - Post-renal Obstructive Disease,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Post-renal obstructive disease",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_PRESENT_OTHER,AKIPROTH,FA,Acute Kidney Injury - Present Other,Acute Kidney Injury - Present Other,,"Acute Kidney Injury: How did the event present itself. _x000D_
Other, specify",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_PRIMARY_GLOMERULONEPHRITIS,AKIPRGLO,FA,Acute Kidney Injury - Primary Glomerulonephritis,Acute Kidney Injury - Primary Glomerulonephritis,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Primary glomerulonephritis",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_PROGRESSION_OF_CHRONIC_KIDNEY_DISEASE,AKIPRCKD,FA,Acute Kidney Injury - Progression of Chronic Kidney Disease,Acute Kidney Injury - Progression of Chronic Kidney Disease,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Progression of chronic kidney disease",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_RECENT_DCR_IN_RENAL_PERFUSION_D/T_VOL_DEPLETION_DCRD_CARD_OU,AKIDRP,FA,Acute Kidney Injury - Recent Decrease in Renal Perfusion,Acute Kidney Injury - Recent Decrease in Renal Perfusion,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event:_x000D_
Recent decrease in renal perfusion due to volume depletion, decreased cardiac putput or hypotension",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_RECENT_STREPTOCOCCAL_INFECTION,AKISTREP,FA,Acute Kidney Injury - Recent Streptococcal Infection,Acute Kidney Injury - Recent Streptococcal Infection,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Recent streptococcal infection",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_RENAL_ANGIO-IMAGING,AKIRANIM,FA,Acute Kidney Injury - Renal Angio-imaging Performed,Acute Kidney Injury - Renal Angio-imaging Performed,,"Acute Kidney Injury: Was imaging performed in relation to the event: _x000D_
Renal angio-imaging",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_RENAL_ARTERY_STENOSIS,AKIREAST,FA,Acute Kidney Injury - Renal Artery Stenosis,Acute Kidney Injury - Renal Artery Stenosis,,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: Renal artery stenosis,CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_RENAL_VEIN_THROMBOSIS,AKIREVET,FA,Acute Kidney Injury - Renal Vein Thrombosis,Acute Kidney Injury - Renal Vein Thrombosis,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Renal vein thrombosis",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_SYSTEMIC_AUTOIMMUNE DISEASE,AKISYAUD,FA,Acute Kidney Injury - Systemic Autoimmune Disease,Acute Kidney Injury - Systemic Autoimmune Disease,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Systemic autoimmune disease",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_ULTRASOUND,AKIULTRA,FA,Acute Kidney Injury - Ultrasound Performed,Acute Kidney Injury - Ultrasound Performed,,"Acute Kidney Injury: Was imaging performed in relation to the event: _x000D_
Ultrasound",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_URINE_VOLUME_FOR_6_HOURS,AKIUV6HU,FA,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,URINE,"Acute Kidney Injury: How did the event present itself. _x000D_
Urine volume < 0.5 mL/kg/h for 6 hours",CATEGORIC FINDING,FINDINGS
ACUTE_KIDNEY_INJURY_VOLUME_DEPLETION_OTHER_THAN_GASTROINTESTINAL_SYMPTOMS,AKIVDOTG,FA,Acute Kidney Injury - Volume Depletion Reasons than Gastrointestinal Symptoms,Acute Kidney Injury - Volume Depletion Reasons than Gastrointestinal Symptoms,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: _x000D_
Volume depletion for other reasons than gastrointestinal symptoms",CATEGORIC FINDING,FINDINGS
ADJUDICATION OUTCOME,ADJOUT,ZA,Adjudication Outcome,Adjudication Outcome,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
ADVERSE EVENT,AE,AE,Adverse Event,Adverse Event,,"Any untoward medical occurrence in a patient or clinical investigation subject administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment._x000D_
An AE can therefore be any unfavourable and unintended sign (including an abnormal laboratory finding, for example), symptom, or disease temporally associated with the use of a medicinal product, whether or not considered related to the medicinal product._x000D_
Note: This includes events from the first trial related activity after the subject has signed the informed consent and_x000D_
until post treatment follow-up period as defined in the protocol. (SOP 110072 List of Roles/Groups and Definitions within Clinical Research and Observational Studies)",ADVERSE EVENT,EVENTS
ALBUMIN,ALB,LB,Albumin,Albumin,,"Albumin_x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATs",NUMERIC FINDING,FINDINGS
ALBUMIN IN URINE,ALBU2,LB,Albumin,Urinary albumin excretion,URINE,"Urine albumin excretion._x000D_
Code: C64431_x000D_
CDISC: A measurement of the albumin protein in a biological specimen._x000D_
CDISC Synonym(s): Albumin_x000D_
CDISC Submission Value: ALB_x000D_
NCI Preferred Term: ALB_x000D_",TEXTUAL FINDING,FINDINGS
ALBUMIN_CREATINE_RATIO,ALBCRAT,LB,Albumin/Creatinine,Albumin/Creatinine,,"CDISC: C74761_x000D_
A relative measurement (ratio) of the albumin to the creatinine in a biological specimen.",NUMERIC FINDING,FINDINGS
ALBUMIN_CREAT_URINE,ALBCRTU,LB,Albumin/Creatinine,Albumin/Creatinine Ratio,URINE,"Albumin/creatinine ratio in urine_x000D_
CDISC code: C74761_x000D_
CDISC submission value: ALBCREAT_x000D_
CDISC synonym(s): Albumin/Creatinine; Microalbumin/Creatinine Ratio_x000D_
CDISC Description: A relative measurement (ratio or percentage) of the albumin to the creatinine in a biological specimen._x000D_
NCI preferred term: Albumin To Creatinine Protein Ratio Measurement_x000D_
_x000D_
Convert values collected  in mg/g to values in mg/mmol by dividing with 8,84 _x000D_",NUMERIC FINDING,FINDINGS
ALBUMIN_N_URINE,ALBU,LB,Albumin,Albumin Urine,URINE,"Molecular Weight (MW): Confirmed by CHHE, Maaloev, 06-06-2013_x000D_
Albumin in urine_x000D_
Code: C64431_x000D_
CDISC: A measurement of the albumin protein in a biological specimen._x000D_
CDISC Synonym(s): Albumin_x000D_
CDISC Submission Value: ALB_x000D_
NCI Preferred Term: ALB_x000D_",NUMERIC FINDING,FINDINGS
ALBUMIN_SERUM,ALBS,LB,Albumin,Albumin,SERUM,"Albumin in serum_x000D_
CDISC code: C64431_x000D_
CDISC submission value: ALB_x000D_
CDISC synonym(s): Albumin; Microalbumin_x000D_
CDISC Description: A measurement of the albumin protein in a biological specimen._x000D_
NCI preferred term: Albumin Measurement",NUMERIC FINDING,FINDINGS
ALP,ALP,LB,Alkaline Phosphatase,Alkaline Phosphatase,,"A measurement of the alkaline phosphatase in a biological specimen._x000D_
NCI preferred term: Alkaline Phosphatase Measurement_x000D_",NUMERIC FINDING,FINDINGS
ALT,ALT,LB,Alanine Aminotransferase,Alanine Aminotransferase,,"A measurement of the alanine aminotransferase in a biological specimen._x000D_
NCI preferred term: Alanine Aminotransferase Measurement",NUMERIC FINDING,FINDINGS
ALT_SERUM,ALTS,LB,Alanine Aminotransferase,Alanine Aminotransferase,SERUM,"Alanine Aminotransferase in Serum_x000D_
CDISC code: C64433_x000D_
CDISC submission value: ALT_x000D_
CDISC synonym(s): Alanine Aminotransferase; SGPT_x000D_
CDISC Description: A measurement of the alanine aminotransferase in a biological specimen._x000D_
NCI preferred term: Alanine Aminotransferase Measurement",NUMERIC FINDING,FINDINGS
AMMONIA,AMMONIA,LB,Ammonia,Ammonia,,A measurement of the ammonia; NH3_x000D_,NUMERIC FINDING,FINDINGS
AMYLASE,AMYLASE,LB,Amylase,Amylase,,"CDISC code: C64434_x000D_
CDISC submission value: AMYLASE_x000D_
CDISC synonym(s): Amylase_x000D_
CDISC definition: A measurement of the total enzyme amylase in a biological specimen._x000D_
NCI preferred term: Amylase Measurement",NUMERIC FINDING,FINDINGS
AMYLASE_SERUM,AMYLAES,LB,Amylase,Amylase,SERUM,"Amylase in serum_x000D_
CDISC code: C64434_x000D_
CDISC submission value: AMYLASE_x000D_
CDISC synonym(s): Amylase_x000D_
CDISC Description: A measurement of the total enzyme amylase in a biological specimen._x000D_
NCI preferred term: Amylase Measurement",NUMERIC FINDING,FINDINGS
AP_SERUM,ALPS,LB,Alkaline Phosphatase,Alkaline Phosphatase,SERUM,"Alkaline phosphatase in serum_x000D_
CDISC code: C64432_x000D_
CDISC submission value: ALP_x000D_
CDISC synonym(s): Alkaline Phosphatase_x000D_
CDISC Description: A measurement of the alkaline phosphatase in a biological specimen._x000D_
NCI preferred term: Alkaline Phosphatase Measurement",NUMERIC FINDING,FINDINGS
AST,AST,LB,Aspartate Aminotransferase,Aspartate Aminotransferase,,"A measurement of the aspartate aminotransferase in a biological specimen._x000D_
NCI preferred term: Aspartate Aminotransferase Measurement",NUMERIC FINDING,FINDINGS
AST_SERUM,ASTS,LB,Aspartate Aminotransferase,Aspartate Aminotransferase,SERUM,"CDISC code: C64467_x000D_
CDISC submission value: AST/Aspartate Aminotransferase_x000D_
CDISC synonym(s): Aspartate Aminotransferase; SGOT_x000D_
CDISC definition: A measurement of the aspartate aminotransferase in a biological specimen._x000D_
NCI preferred term: Aspartate Aminotransferase Measurement",NUMERIC FINDING,FINDINGS
BG_SUPER_GL_ANALYZER,BGSUPGLA,LB,Glucose,BG Super GL analyzer,,A measurement of the glucose in blood.,NUMERIC FINDING,FINDINGS
BILDIR,BILDIR,LB,Direct Bilirubin,Direct Bilirubin,,"CDISC code: C64481_x000D_
CDISC submission value: BILDIR _x000D_
CDISC synonym(s): Direct Bilirubin _x000D_
CDISC definition: A measurement of the conjugated or water-soluble bilirubin in a biological specimen._x000D_
NCI preferred term: Direct Bilirubin Measurement",NUMERIC FINDING,FINDINGS
BILI,BILI,LB,Bilirubin,Bilirubin,,"A measurement of the total bilirubin in a biological specimen._x000D_
NCI preferred term: Total Bilirubin Measurement_x000D_",NUMERIC FINDING,FINDINGS
BILIND,BILIND,LB,Indirect Bilirubin,Indirect Bilirubin,,"CDISC code: C64483_x000D_
CDISC submission value: BILIND_x000D_
CDISC synonym(s): Indirect Bilirubin _x000D_
CDISC definition: A measurement of the unconjugated or non-water-soluble bilirubin in a biological specimen._x000D_
NCI preferred term: Indirect Bilirubin Measurement",NUMERIC FINDING,FINDINGS
BILIRUBIN_SERUM,BILIS3,LB,Bilirubin,Bilirubin,SERUM,"CDISC code: C38037_x000D_
CDISC submission value: BILI_x000D_
CDISC synonym(s): Bilirubin; Total Bilirubin_x000D_
CDISC Description: A measurement of the total bilirubin in a biological specimen._x000D_
NCI preferred term: Total Bilirubin Measurement",NUMERIC FINDING,FINDINGS
BILIRUBIN_URINE,BILIU2,LB,Bilirubin,Bilirubin urine,URINE,"CDISC:A measurement of the total bilirubin in a biological specimen._x000D_
CDISC synonym: Bilirubin_x000D_
CDISC preferred term: BILI_x000D_
CDISC code: C38037",CATEGORIC FINDING,FINDINGS
BILI_UR,BILIU,LB,Bilirubin,Bilirubin dipstick,URINE,Sponsordefined: The investigators evaluation of a measurement of the total bilirubin in urine_x000D_,CATEGORIC FINDING,FINDINGS
BLOOD_SAMPLES_COLLECTED,BLOODCLB,LB,Have all blood samples been taken,Have all blood samples been taken,BLOOD,"<CodeLists>_x000D_
<CodeList Value=""LBTEST"" CodeSubmValue=""Have all samples been taken"" SpecimenType=""BLOOD""></CodeList>_x000D_
<CodeList Value=""LBTESTCD"" CodeSubmValue=""LBALL""></CodeList>_x000D_
</CodeLists>_x000D_
Have all blood samples been taken?",CATEGORIC FINDING,FINDINGS
