library,catalogue,legacy_codelist_id,legacy_codelist_name,new_codelist_name,template_parameter,submission_value,preferred_term,definition,extensible,synonyms,href,
Sponsor,SDTM CT,TRL_TM_REF,Trial Time Reference,Time Point Reference,Y,TIMEREF,Time Point Reference,"Time points that can act as a time reference, e.g. other time points will have their time reference to this time point.",Y,,,
Sponsor,SDTM CT,VIS_TYPE,VisitType,VisitType,Y,TIMELB,Time Point Label,"Label for a time point in the clinical study schedule, can be the same as the type of visit.",Y,,,
Sponsor,SDTM CT,UNIT_DIMENSION,Unit Dimension,Unit Dimension,N,UNITDIM,Unit Dimension,Unit Dimension act as a reference to a set of unit definitions where unit conversion is possible.Y,,,,
Sponsor,SDTM CT,,,Objective Level,N,OBJTLEVL,Objective Level,Objective Level,Y,,,
Sponsor,SDTM CT,,,Endpoint Level,N,ENDPLEVL,Endpoint Level,Endpoint Level,Y,,,
Sponsor,SDTM CT,NULL_FLAVOUR,Null Flavour,Null Flavor,N,NULLFLVR,Null Flavor,"A null flavor is an ancillary piece of data that provides additional information when its primary piece of data is null (has a missing value). There is controlled terminology for the null flavor data item which includes such familiar values as Unknown, Other, and Not Applicable among its fourteen terms.",Y,Null Flavor,,
Sponsor,SDTM CT,THERAPY_AREA,Therapy Area,Therapeutic area,Y,THERAREA,Therapeutic area,"A knowledge field that focuses on research and development of specific treatments for diseases and pathologic findings, as well as prevention of conditions that negatively impact the health of an individual. (NCI)",Y,Therapy Area,,
Sponsor,SDTM CT,TYPE_OF_TRT,Type of Treatment,Type of Treatment,Y,TPOFTRT,Type of Treatment,Type of Treatment,Y,,,
Sponsor,SDTM CT,GEN_EPOCH_TYPE,Generic Epoch Type,Epoch Type,N,EPOCHTP,Type of Epoch,Type of Epoch,,,,
Sponsor,SDTM CT,GEN_EPOCH_SUB_TYPE,Generic Epoch Subtype,Epoch Sub Type,N,EPOCHSTP,Sub Type of Epoch,Sub Type of Epoch,,,,
Sponsor,SDTM CT,,,Visit Sub Label,N,VISSUBLB,Visit Sub Label,"Visits can span over a number of sub visits each with a specific sub visit label (e.g. Day 1, Day 2, etc.)",Y,,,
Sponsor,SDTM CT,,,Criteria Type,N,CRITRTP,Criteria Type,Type of criteria (e.g. Inclusion Criteria),Y,,,
Sponsor,SDTM CT,,,Objective Category,N,OBJTCAT,Objective Category,"Category of objectives (e.g. Efficacy, Safety, etc.)",Y,,,
Sponsor,SDTM CT,,,Endpoint Category,N,ENDPCAT,Endpoint Category,"Category of endpoints (e.g. Efficacy, Safety, etc.)",Y,,,
Sponsor,SDTM CT,,,Endpoint Sub Category,N,ENDPSCAT,Endpoint Sub Category,"Sub category of endpoints (e.g. Continuous, Categorical, Count, etc.)",Y,,,
Sponsor,SDTM CT,,,Criteria Category,N,CRITCAT,Criteria Category,"Categori for criteria (e.g. Demography, Diseases, Lifestyle, etc.)",Y,,,
Sponsor,SDTM CT,,,Criteria Sub Category,N,CRITSCAT,Criteria Sub Category,Sub categori for criteria,Y,,,
Sponsor,SDTM CT,,,Operator,Y,OPERATOR,Operator,Logical operators,Y,,,
Sponsor,SDTM CT,UNIT_SUBSET,Unit Subset,Unit Subset,N,UNITSUBS,Unit Subset,Unit Subset act as a grouping of unit definitions within a user scope. This can be across unit dimensions  and a unit definition can be part of multiple subsets.,Y,,,
Sponsor,SDTM CT,,,Flowchart Group,N,FLWCRTGRP,Flowchart Group,,Y,,,
Sponsor,SDTM CT,,,Visit Contact Mode,N,VISCNTMD,Visit Contact Mode,"Mode of contact for a visit (e.g. on site, virtual)",Y,,,
Sponsor,SDTM CT,,,Arm Type,N,ARMTTP,Arm Type,Type of Arm,Y,,,
Sponsor,SDTM CT,GEN_ELEM_TYPE,Generic Element Type,Element Type,N,ELEMTP,Element Type,Type of Element,Y,,,
Sponsor,SDTM CT,GEN_ELEM_SUB_TYPE,Generic Element Sub Type,Element Sub Type,N,ELEMSTP,Element Sub Type,Sub Type of Element,Y,,,
Sponsor,SDTM CT,COMP_DISP_IN,Compound Dispensed In,Compound Dispensed In,N,COMPDISP,Compound Dispensed In,Compound Dispensed In,Y,,,
Sponsor,SDTM CT,DEVICE,Device,Delivery Device,N,DLVRDVC,Delivery Device,Delivery Device,Y,,,
Sponsor,SDTM CT,LANGUAGE,Language,Language,Y,LANGUAGE,Language,Language on 3 digits based on the ISO639-3,Y,,,
Sponsor,SDTM CT,DATATYPE,Data type,Data type,Y,DATATYPE,Data type,Data type for ODM metadata,Y,,,
Sponsor,SDTM CT,,,Endpoint Sub Level,N,ENDPSBLV,Endpoint Sub Level,Endpoint Sub Level is a sub classification of Endpoint Level,Y,,,
Sponsor,SDTM CT,TRT_ALLOC,Treatment Allocation,Epoch Allocation,N,EPCHALLC,Epoch Allocation,Rule for allocation of study visit to study epochs,Y,,,
Sponsor,SDTM CT,,,Study Milestone,N,STUDYMS,Study Milestone,Main event in the study schedule where subjects change status or disposition group.,Y,,,
Sponsor,SDTM CT,,,Data Collection Mode,Y,DATCOLMD,Data Collection Mode,"Mode of data collection, e.g. eCOA, paper",Y,,,
Sponsor,SDTM CT,,,Confirmatory Purpose,Y,CNFPURP,Confirmatory Purpose,Confirmatory Purpose (e.g. to demonstrate or confirm),Y,,,
Sponsor,SDTM CT,,,Non-confirmatory Purpose,Y,NCNFPURP,Non-confirmatory Purpose,Non-confirmatory Purpose (e.g. to compare or investigate),Y,,,