"CT_CD_LIST_SUBMVAL","CT_SUBMVAL","CT_NAME","NAME_SENTENSE_CASE","ORDER","DEFINITION","CD_CT"
"DATATYPE","TEXT","Text","text","1","Text data type (free text)",
"DATATYPE","INTEGER","Integer","integer","2","Integer data type (please specify the lenght)",
"DATATYPE","FLOAT","Float","float","3","Float data type (please specify the lenght and the number of digit after the floating separator)",
"DATATYPE","DATE","Date","date","4","Date data type (yyyy-mm-dd)",
"DATATYPE","TIME","Time","time","5","Time data type (hh:mm)",
"DATATYPE","DATETIME","Date Time","date time","6","Date time data type (yy-mm-dd hh:mm)",
"DATATYPE","STRING","String","string","7","String data type",
"DATATYPE","BOOLEAN","Boolean","boolean","8","Boolean data type",
"DATATYPE","DOUBLE","Double","double","9","Double data type",
"DATATYPE","HEXBINARY","hex Binary","hex binary","10","hex Binary data type",
"DATATYPE","BASE64BINARY","Base 64 Binary","base 64 binary","11","Base 64 Binary data type",
"DATATYPE","HEXFLOAT","hex Float","hex float","12","hex Float data type",
"DATATYPE","BASE64FLOAT","Base64 Float","base 64 float","13","Base 64 Float data type",
"DATATYPE","PARTIALDATE","Partial Date","partial date","14","Partial Date data type",
"DATATYPE","PARTIALTIME","Partial Time","partial time","15","Partial Time data type",
"DATATYPE","PARTIALDATETIME","Partial Date Time","partial date time","16","Partial Date Time data type",
"DATATYPE","DURATIONDATETIME","Duration Date Time","duration date time","17","Duration Date Time data type",
"DATATYPE","INTERVALDATETIME","Intervale Date Time","interval date time","18","Interval Date Time data type",
"DATATYPE","INCOMPLETEDATETIME","Incomplete Date Time","incomplete date time","19","Incomplete Date Time data type",
"DATATYPE","INCOMPLETEDATE","Incomplete Date","incomplete date","20","Incomplete Date data type",
"DATATYPE","INCOMPLETETIME","Incomplete Time","incomplete time","21","Incomplete Time data type",
"DATATYPE","URI","URI","uri","22","URI data type",