"table","column","enrich_build_order","enrich_rule"
"FAXB","FAENDY",10,"sdtme_std_dy_v$$"
"FAXB","FAORNRHI",50,"sdtme_std_ornr_v$$"
"FAXB","FAORNRLO",50,"sdtme_std_ornr_v$$"
"FAXB","FASTNRHI",70,"sdtme_std_stres_v$$"
"FAXB","FASTNRLO",70,"sdtme_std_stres_v$$"
"FAXB","FASTRESC",70,"sdtme_std_stres_v$$"
"FAXB","FASTRESN",70,"sdtme_std_stres_v$$"
"FAXB","FASTRESU",60,"sdtme_std_stresu_v$$"
"FAXB","VISIT",30,"sdtme_std_visit_v$$"
"FAXB","VISITDY",40,"sdtme_std_visitdy_v$$"
"FT","ELEMENT",100,"sdtme_std_etcd_v$$"
"FT","EPOCH",90,"sdtme_std_epoch_v$$"
"FT","ETCD",100,"sdtme_std_etcd_v$$"
"FT","FTBLFL",20,"sdtme_std_blfl_v$$"
"FT","FTDY",10,"sdtme_std_dy_v$$"
"FT","FTSTRESC",70,"sdtme_std_stres_v$$"
"FT","FTSTRESN",70,"sdtme_std_stres_v$$"
"FT","FTSTRESU",60,"sdtme_std_stresu_v$$"
"FT","VISIT",30,"sdtme_std_visit_v$$"
"FT","VISITDY",80,"sdtme_std_visitdy_v$$"
"HO","ELEMENT",30,"sdtme_std_etcd_v$$"
"HO","EPOCH",20,"sdtme_std_epoch_v$$"
"HO","ETCD",30,"sdtme_std_etcd_v$$"
"HO","HODY",10,"sdtme_std_dy_v$$"
"HO","HOENDY",10,"sdtme_std_dy_v$$"
"HO","HOSTDY",10,"sdtme_std_dy_v$$"
"IE","DOMAIN",5,"sdtme_ie_update_v$$"
"IE","ELEMENT",50,"sdtme_std_etcd_v$$"
"IE","EPOCH",40,"sdtme_std_epoch_v$$"
"IE","ETCD",50,"sdtme_std_etcd_v$$"
"IE","IEDY",10,"sdtme_std_dy_v$$"
"IE","IESTRESC",60,"sdtme_std_stres_v$$"
"IE","VISIT",20,"sdtme_std_visit_v$$"
"IE","VISITDY",30,"sdtme_std_visitdy_v$$"
"IS","ELEMENT",80,"sdtme_std_etcd_v$$"
"IS","EPOCH",70,"sdtme_std_epoch_v$$"
"IS","ETCD",80,"sdtme_std_etcd_v$$"
"IS","ISBLFL",20,"sdtme_std_blfl_v$$"
"IS","ISDY",10,"sdtme_std_dy_v$$"
"IS","ISSTRESC",60,"sdtme_std_stres_v$$"
"IS","ISSTRESN",60,"sdtme_std_stres_v$$"
"IS","ISSTRESU",50,"sdtme_std_stresu_v$$"
"IS","VISIT",30,"sdtme_std_visit_v$$"
"IS","VISITDY",40,"sdtme_std_visitdy_v$$"
"LB","ELEMENT",100,"sdtme_std_etcd_v$$"
"LB","EPOCH",90,"sdtme_std_epoch_v$$"
"LB","ETCD",100,"sdtme_std_etcd_v$$"
"LB","LBBLFL",20,"sdtme_std_blfl_v$$"
"LB","LBDY",10,"sdtme_std_dy_v$$"
"LB","LBENDY",10,"sdtme_std_dy_v$$"
"LB","LBNRIND",50,"sdtme_std_nrind_v$$"
"LB","LBORNRHI",40,"sdtme_std_ornr_v$$"
"LB","LBORNRLO",40,"sdtme_std_ornr_v$$"
"LB","LBSTNRHI",70,"sdtme_std_stres_v$$"
"LB","LBSTNRLO",70,"sdtme_std_stres_v$$"
"LB","LBSTRESC",70,"sdtme_std_stres_v$$"
"LB","LBSTRESN",70,"sdtme_std_stres_v$$"
"LB","LBSTRESU",60,"sdtme_std_stresu_v$$"
"LB","VISIT",30,"sdtme_std_visit_v$$"
"LB","VISITDY",80,"sdtme_std_visitdy_v$$"
"MB","ELEMENT",80,"sdtme_std_etcd_v$$"
"MB","EPOCH",70,"sdtme_std_epoch_v$$"
"MB","ETCD",80,"sdtme_std_etcd_v$$"
"MB","MBBLFL",20,"sdtme_std_blfl_v$$"
"MB","MBDY",10,"sdtme_std_dy_v$$"
"MB","MBSTRESC",60,"sdtme_std_stres_v$$"
"MB","MBSTRESN",60,"sdtme_std_stres_v$$"
"MB","MBSTRESU",50,"sdtme_std_stresu_v$$"
"MB","VISIT",30,"sdtme_std_visit_v$$"
"MB","VISITDY",40,"sdtme_std_visitdy_v$$"
"MH","ELEMENT",60,"sdtme_std_etcd_v$$"
"MH","EPOCH",50,"sdtme_std_epoch_v$$"
"MH","ETCD",60,"sdtme_std_etcd_v$$"
"MH","MHBDSYCD",40,"sdtme_std_cd_v$$"
"MH","MHBODSYS",40,"sdtme_std_cd_v$$"
"MH","MHDECOD",40,"sdtme_std_cd_v$$"
"MH","MHDY",10,"sdtme_std_dy_v$$"
"MH","MHENDY",10,"sdtme_std_dy_v$$"
"MH","MHHLGT",40,"sdtme_std_cd_v$$"
"MH","MHHLGTCD",40,"sdtme_std_cd_v$$"
"MH","MHHLT",40,"sdtme_std_cd_v$$"
"MH","MHHLTCD",40,"sdtme_std_cd_v$$"
"MH","MHLLT",40,"sdtme_std_cd_v$$"
"MH","MHLLTCD",40,"sdtme_std_cd_v$$"
"MH","MHPTCD",40,"sdtme_std_cd_v$$"
"MH","MHSOC",40,"sdtme_std_cd_v$$"
"MH","MHSOCCD",40,"sdtme_std_cd_v$$"
"MH","MHSTDY",10,"sdtme_std_dy_v$$"
"MH","VISIT",20,"sdtme_std_visit_v$$"
"MH","VISITDY",30,"sdtme_std_visitdy_v$$"
"MI","ELEMENT",80,"sdtme_std_etcd_v$$"
"MI","EPOCH",70,"sdtme_std_epoch_v$$"
"MI","ETCD",80,"sdtme_std_etcd_v$$"
"MI","MIBLFL",20,"sdtme_std_blfl_v$$"
"MI","MIDY",10,"sdtme_std_dy_v$$"
"MI","MISTRESC",60,"sdtme_std_stres_v$$"
"MI","MISTRESN",60,"sdtme_std_stres_v$$"
"MI","MISTRESU",50,"sdtme_std_stresu_v$$"
"MI","VISIT",30,"sdtme_std_visit_v$$"
"MI","VISITDY",40,"sdtme_std_visitdy_v$$"
"ML","ELEMENT",60,"sdtme_std_etcd_v$$"
"ML","EPOCH",50,"sdtme_std_epoch_v$$"
"ML","ETCD",60,"sdtme_std_etcd_v$$"
"ML","MLDY",10,"sdtme_std_dy_v$$"
"ML","MLENDY",10,"sdtme_std_dy_v$$"
"ML","MLSTDY",10,"sdtme_std_dy_v$$"
"ML","VISIT",30,"sdtme_std_visit_v$$"
"ML","VISITDY",40,"sdtme_std_visitdy_v$$"
"MO","ELEMENT",80,"sdtme_std_etcd_v$$"
"MO","EPOCH",70,"sdtme_std_epoch_v$$"
"MO","ETCD",80,"sdtme_std_etcd_v$$"
"MO","MOBLFL",20,"sdtme_std_blfl_v$$"
"MO","MODY",10,"sdtme_std_dy_v$$"
"MO","MOSTRESC",60,"sdtme_std_stres_v$$"
"MO","MOSTRESN",60,"sdtme_std_stres_v$$"
"MO","MOSTRESU",50,"sdtme_std_stresu_v$$"
"MO","VISIT",30,"sdtme_std_visit_v$$"
"MO","VISITDY",40,"sdtme_std_visitdy_v$$"
"MS","ELEMENT",80,"sdtme_std_etcd_v$$"
"MS","EPOCH",70,"sdtme_std_epoch_v$$"
"MS","ETCD",80,"sdtme_std_etcd_v$$"
"MS","MSBLFL",20,"sdtme_std_blfl_v$$"
"MS","MSDY",10,"sdtme_std_dy_v$$"
"MS","MSSTRESC",60,"sdtme_std_stres_v$$"
"MS","MSSTRESN",60,"sdtme_std_stres_v$$"
"MS","MSSTRESU",50,"sdtme_std_stresu_v$$"
"MS","VISIT",30,"sdtme_std_visit_v$$"
"MS","VISITDY",40,"sdtme_std_visitdy_v$$"
"OE","ELEMENT",100,"sdtme_std_etcd_v$$"
"OE","EPOCH",90,"sdtme_std_epoch_v$$"
"OE","ETCD",100,"sdtme_std_etcd_v$$"
"OE","OEBLFL",20,"sdtme_std_blfl_v$$"
"OE","OEDY",10,"sdtme_std_dy_v$$"
"OE","OENRIND",50,"sdtme_std_nrind_v$$"
"OE","OEORNRHI",40,"sdtme_std_ornr_v$$"
"OE","OEORNRLO",40,"sdtme_std_ornr_v$$"
"OE","OESTNRHI",70,"sdtme_std_stres_v$$"
"OE","OESTNRLO",70,"sdtme_std_stres_v$$"
"OE","OESTRESC",70,"sdtme_std_stres_v$$"
"OE","OESTRESN",70,"sdtme_std_stres_v$$"
"OE","OESTRESU",60,"sdtme_std_stresu_v$$"
"OE","VISIT",30,"sdtme_std_visit_v$$"
"OE","VISITDY",80,"sdtme_std_visitdy_v$$"
"PC","DOMAIN",5,"sdtme_pc_analyte_v$$"
"PC","ELEMENT",50,"sdtme_std_etcd_v$$"
"PC","EPOCH",40,"sdtme_std_epoch_v$$"
"PC","ETCD",50,"sdtme_std_etcd_v$$"
"PC","PCBLFL",15,"sdtme_std_blfl_v$$"
"PC","PCDY",10,"sdtme_std_dy_v$$"
"PC","PCENDY",10,"sdtme_std_dy_v$$"
"PC","PCSTRESC",70,"sdtme_std_stres_v$$"
"PC","PCSTRESN",70,"sdtme_std_stres_v$$"
"PC","PCSTRESU",60,"sdtme_std_stresu_v$$"
"PC","VISIT",20,"sdtme_std_visit_v$$"
"PC","VISITDY",30,"sdtme_std_visitdy_v$$"
"PE","ELEMENT",70,"sdtme_std_etcd_v$$"
"PE","EPOCH",60,"sdtme_std_epoch_v$$"
"PE","ETCD",70,"sdtme_std_etcd_v$$"
"PE","PEBLFL",20,"sdtme_std_blfl_v$$"
"PE","PEDY",10,"sdtme_std_dy_v$$"
"PE","PESTRESC",50,"sdtme_std_stres_v$$"
"PE","VISIT",30,"sdtme_std_visit_v$$"
"PE","VISITDY",40,"sdtme_std_visitdy_v$$"
"PF","ELEMENT",50,"sdtme_std_etcd_v$$"
"PF","EPOCH",40,"sdtme_std_epoch_v$$"
"PF","ETCD",50,"sdtme_std_etcd_v$$"
"PF","PFBLFL",15,"sdtme_std_blfl_v$$"
"PF","PFDY",10,"sdtme_std_dy_v$$"
"PF","PFSTRESC",70,"sdtme_std_stres_v$$"
"PF","PFSTRESN",70,"sdtme_std_stres_v$$"
"PF","PFSTRESU",60,"sdtme_std_stresu_v$$"
"PF","VISIT",20,"sdtme_std_visit_v$$"
"PF","VISITDY",30,"sdtme_std_visitdy_v$$"
"PR","ELEMENT",60,"sdtme_std_etcd_v$$"
"PR","EPOCH",50,"sdtme_std_epoch_v$$"
"PR","ETCD",60,"sdtme_std_etcd_v$$"
"PR","PRDY",10,"sdtme_std_dy_v$$"
"PR","PRENDY",10,"sdtme_std_dy_v$$"
"PR","PRSTDY",10,"sdtme_std_dy_v$$"
"PR","VISIT",20,"sdtme_std_visit_v$$"
"PR","VISITDY",30,"sdtme_std_visitdy_v$$"
"QS","ELEMENT",60,"sdtme_std_etcd_v$$"
"QS","EPOCH",50,"sdtme_std_epoch_v$$"
"QS","ETCD",60,"sdtme_std_etcd_v$$"
"QS","QSBLFL",20,"sdtme_std_blfl_v$$"
"QS","QSDY",10,"sdtme_std_dy_v$$"
"QS","QSREASND",5,"sdtme_qs_stat_v$$"
"QS","QSSTAT",5,"sdtme_qs_stat_v$$"
"QS","QSSTRESC",80,"sdtme_std_stres_v$$"
"QS","QSSTRESN",80,"sdtme_std_stres_v$$"
"QS","QSSTRESU",70,"sdtme_std_stresu_v$$"
"QS","VISIT",30,"sdtme_std_visit_v$$"
"QS","VISITDY",40,"sdtme_std_visitdy_v$$"
"RE","ELEMENT",100,"sdtme_std_etcd_v$$"
"RE","EPOCH",90,"sdtme_std_epoch_v$$"
"RE","ETCD",100,"sdtme_std_etcd_v$$"
"RE","REBLFL",20,"sdtme_std_blfl_v$$"
"RE","REDY",10,"sdtme_std_dy_v$$"
"RE","REENDY",10,"sdtme_std_dy_v$$"
"RE","RENRIND",60,"sdtme_std_nrind_v$$"
"RE","REORNRHI",50,"sdtme_std_ornr_v$$"
"RE","REORNRLO",50,"sdtme_std_ornr_v$$"
"RE","RESTNRHI",80,"sdtme_std_stres_v$$"
"RE","RESTNRLO",80,"sdtme_std_stres_v$$"
"RE","RESTRESC",80,"sdtme_std_stres_v$$"
"RE","RESTRESN",80,"sdtme_std_stres_v$$"
"RE","RESTRESU",70,"sdtme_std_stresu_v$$"
"RE","VISIT",30,"sdtme_std_visit_v$$"
"RE","VISITDY",40,"sdtme_std_visitdy_v$$"
"RELREC","RDOMAIN",10,"sdtme_relrec_all_v$$"
"RP","ELEMENT",80,"sdtme_std_etcd_v$$"
"RP","EPOCH",70,"sdtme_std_epoch_v$$"
"RP","ETCD",80,"sdtme_std_etcd_v$$"
"RP","RPBLFL",20,"sdtme_std_blfl_v$$"
"RP","RPDY",10,"sdtme_std_dy_v$$"
"RP","RPENDY",10,"sdtme_std_dy_v$$"
"RP","RPSTRESC",60,"sdtme_std_stres_v$$"
"RP","RPSTRESN",60,"sdtme_std_stres_v$$"
"RP","RPSTRESU",50,"sdtme_std_stresu_v$$"
"RP","VISIT",30,"sdtme_std_visit_v$$"
"RP","VISITDY",40,"sdtme_std_visitdy_v$$"
"RS","ELEMENT",60,"sdtme_std_etcd_v$$"
"RS","EPOCH",50,"sdtme_std_epoch_v$$"
"RS","ETCD",60,"sdtme_std_etcd_v$$"
"RS","RSDY",10,"sdtme_std_dy_v$$"
"RS","RSSTRESC",40,"sdtme_std_stres_v$$"
"RS","RSSTRESN",40,"sdtme_std_stres_v$$"
"RS","RSSTRESU",39,"sdtme_std_stresu_v$$"
"RS","VISIT",20,"sdtme_std_visit_v$$"
"RS","VISITDY",30,"sdtme_std_visitdy_v$$"
"SC","ELEMENT",30,"sdtme_std_etcd_v$$"
"SC","EPOCH",20,"sdtme_std_epoch_v$$"
"SC","ETCD",30,"sdtme_std_etcd_v$$"
"SC","SCDY",10,"sdtme_std_dy_v$$"
"SC","SCSTRESC",50,"sdtme_std_stres_v$$"
"SC","SCSTRESN",50,"sdtme_std_stres_v$$"
"SC","SCSTRESU",40,"sdtme_std_stresu_v$$"
"SE","DOMAIN",10,"sdtme_se_all_v$$"
"SR","ELEMENT",50,"sdtme_std_etcd_v$$"
"SR","EPOCH",40,"sdtme_std_epoch_v$$"
"SR","ETCD",50,"sdtme_std_etcd_v$$"
"SR","SRDY",10,"sdtme_std_dy_v$$"
"SR","SRSTRESC",70,"sdtme_std_stres_v$$"
"SR","SRSTRESN",70,"sdtme_std_stres_v$$"
"SR","SRSTRESU",60,"sdtme_std_stresu_v$$"
"SR","VISIT",20,"sdtme_std_visit_v$$"
"SR","VISITDY",30,"sdtme_std_visitdy_v$$"
"SS","ELEMENT",60,"sdtme_std_etcd_v$$"
"SS","EPOCH",50,"sdtme_std_epoch_v$$"
"SS","ETCD",60,"sdtme_std_etcd_v$$"
"SS","SSDY",10,"sdtme_std_dy_v$$"
"SS","SSSTRESC",40,"sdtme_std_stres_v$$"
"SS","VISIT",20,"sdtme_std_visit_v$$"
"SS","VISITDY",30,"sdtme_std_visitdy_v$$"
"SU","ELEMENT",30,"sdtme_std_etcd_v$$"
"SU","EPOCH",20,"sdtme_std_epoch_v$$"
"SU","ETCD",30,"sdtme_std_etcd_v$$"
"SU","SUDY",10,"sdtme_std_dy_v$$"
"SU","SUENDY",10,"sdtme_std_dy_v$$"
"SU","SUSTDY",10,"sdtme_std_dy_v$$"
"SU","VISIT",40,"sdtme_std_visit_v$$"
"SU","VISITDY",50,"sdtme_std_visitdy_v$$"
"SV","ELEMENT",30,"sdtme_std_etcd_v$$"
"SV","EPOCH",20,"sdtme_std_epoch_v$$"
"SV","ETCD",30,"sdtme_std_etcd_v$$"
"SV","SVCNTMOD",60,"sdtme_sv_epchgi_v$$"
"SV","SVENDY",10,"sdtme_std_dy_v$$"
"SV","SVEPCHGI",60,"sdtme_sv_epchgi_v$$"
"SV","SVSTDY",10,"sdtme_std_dy_v$$"
"SV","VISIT",40,"sdtme_std_visit_v$$"
"SV","VISITDY",50,"sdtme_std_visitdy_v$$"
"TA","DOMAIN",10,"sdtme_ta_all_v$$"
"TE","DOMAIN",50,"sdtme_te_all_v$$"
"TI","DOMAIN",10,"sdtme_ti_all_v$$"
"TR","ELEMENT",70,"sdtme_std_etcd_v$$"
"TR","EPOCH",60,"sdtme_std_epoch_v$$"
"TR","ETCD",70,"sdtme_std_etcd_v$$"
"TR","TRDY",10,"sdtme_std_dy_v$$"
"TR","TRSTRESC",50,"sdtme_std_stres_v$$"
"TR","TRSTRESN",50,"sdtme_std_stres_v$$"
"TR","TRSTRESU",40,"sdtme_std_stresu_v$$"
"TR","VISIT",20,"sdtme_std_visit_v$$"
"TR","VISITDY",30,"sdtme_std_visitdy_v$$"
"TS","DOMAIN",10,"sdtme_ts_all_v$$"
"TU","ELEMENT",60,"sdtme_std_etcd_v$$"
"TU","EPOCH",50,"sdtme_std_epoch_v$$"
"TU","ETCD",60,"sdtme_std_etcd_v$$"
"TU","TUDY",10,"sdtme_std_dy_v$$"
"TU","TUSTRESC",40,"sdtme_std_stres_v$$"
"TU","VISIT",20,"sdtme_std_visit_v$$"
"TU","VISITDY",30,"sdtme_std_visitdy_v$$"
"TV","DOMAIN",10,"sdtme_tv_all_v$$"
"VS","ELEMENT",80,"sdtme_std_etcd_v$$"
"VS","EPOCH",70,"sdtme_std_epoch_v$$"
"VS","ETCD",80,"sdtme_std_etcd_v$$"
"VS","VISIT",30,"sdtme_std_visit_v$$"
"VS","VISITDY",60,"sdtme_std_visitdy_v$$"
"VS","VSBLFL",20,"sdtme_std_blfl_v$$"
"VS","VSDY",10,"sdtme_std_dy_v$$"
"VS","VSSTRESC",50,"sdtme_std_stres_v$$"
"VS","VSSTRESN",50,"sdtme_std_stres_v$$"
"VS","VSSTRESU",40,"sdtme_std_stresu_v$$"
"XA","ELEMENT",80,"sdtme_std_etcd_v$$"
"XA","EPOCH",70,"sdtme_std_epoch_v$$"
"XA","ETCD",80,"sdtme_std_etcd_v$$"
"XA","VISIT",30,"sdtme_std_visit_v$$"
"XA","VISITDY",40,"sdtme_std_visitdy_v$$"
"XA","XABLFL",20,"sdtme_std_blfl_v$$"
"XA","XADY",10,"sdtme_std_dy_v$$"
"XA","XAENDY",10,"sdtme_std_dy_v$$"
"XA","XASTRESC",60,"sdtme_std_stres_v$$"
"XA","XASTRESN",60,"sdtme_std_stres_v$$"
"XA","XASTRESU",50,"sdtme_std_stresu_v$$"
"XB","ELEMENT",30,"sdtme_std_etcd_v$$"
"XB","EPOCH",20,"sdtme_std_epoch_v$$"
"XB","ETCD",30,"sdtme_std_etcd_v$$"
"XB","XBENDY",10,"sdtme_std_dy_v$$"
"XB","XBSTDY",10,"sdtme_std_dy_v$$"
"XD","DOMAIN",5,"sdtme_dv_import_v$$"
"XH","ELEMENT",30,"sdtme_std_etcd_v$$"
"XH","EPOCH",20,"sdtme_std_epoch_v$$"
"XH","ETCD",30,"sdtme_std_etcd_v$$"
"XH","XHENDY",10,"sdtme_std_dy_v$$"
"XH","XHSTDY",10,"sdtme_std_dy_v$$"
"XL","LBSTNRHI",20,"sdtme_std_xstres_v$$"
"XL","LBSTNRLO",20,"sdtme_std_xstres_v$$"
"XL","LBSTRESC",20,"sdtme_std_xstres_v$$"
"XL","LBSTRESN",20,"sdtme_std_xstres_v$$"
"XL","LBSTRESU",10,"sdtme_std_xstresu_v$$"
"XR","ELEMENT",30,"sdtme_std_etcd_v$$"
"XR","EPOCH",20,"sdtme_std_epoch_v$$"
"XR","ETCD",30,"sdtme_std_etcd_v$$"
"XR","XRENDY",10,"sdtme_std_dy_v$$"
"XR","XRSTDY",10,"sdtme_std_dy_v$$"
"XS","ELEMENT",80,"sdtme_std_etcd_v$$"
"XS","EPOCH",70,"sdtme_std_epoch_v$$"
"XS","ETCD",80,"sdtme_std_etcd_v$$"
"XS","VISIT",30,"sdtme_std_visit_v$$"
"XS","VISITDY",40,"sdtme_std_visitdy_v$$"
"XS","XSBLFL",20,"sdtme_std_blfl_v$$"
"XS","XSDY",10,"sdtme_std_dy_v$$"
"XS","XSENDY",10,"sdtme_std_dy_v$$"
"XS","XSSTRESC",60,"sdtme_std_stres_v$$"
"XS","XSSTRESN",60,"sdtme_std_stres_v$$"
"XS","XSSTRESU",50,"sdtme_std_stresu_v$$"
"XV","VSSTRESC",20,"sdtme_std_xstres_v$$"
"XV","VSSTRESN",20,"sdtme_std_xstres_v$$"
"XV","VSSTRESU",10,"sdtme_std_xstresu_v$$"
"ZA","ELEMENT",100,"sdtme_std_etcd_v$$"
"ZA","EPOCH",90,"sdtme_std_epoch_v$$"
"ZA","ETCD",100,"sdtme_std_etcd_v$$"
"ZA","VISIT",30,"sdtme_std_visit_v$$"
"ZA","VISITDY",80,"sdtme_std_visitdy_v$$"
"ZA","ZABLFL",20,"sdtme_std_blfl_v$$"
"ZA","ZADY",10,"sdtme_std_dy_v$$"
"ZA","ZAORNRHI",40,"sdtme_std_ornr_v$$"
"ZA","ZAORNRLO",40,"sdtme_std_ornr_v$$"
"ZA","ZASTNRHI",70,"sdtme_std_stres_v$$"
"ZA","ZASTNRLO",70,"sdtme_std_stres_v$$"
"ZA","ZASTRESC",70,"sdtme_std_stres_v$$"
"ZA","ZASTRESN",70,"sdtme_std_stres_v$$"
"ZA","ZASTRESU",60,"sdtme_std_stresu_v$$"
"ZE","ELEMENT",30,"sdtme_std_etcd_v$$"
"ZE","EPOCH",20,"sdtme_std_epoch_v$$"
"ZE","ETCD",30,"sdtme_std_etcd_v$$"
"ZE","VISIT",40,"sdtme_std_visit_v$$"
"ZE","VISITDY",50,"sdtme_std_visitdy_v$$"
"ZE","ZEENDY",10,"sdtme_std_dy_v$$"
"ZE","ZESTDY",10,"sdtme_std_dy_v$$"
"[NEW]",,"        .",
