"basic_std","Table","Label","Class","XmlPath","XmlTitle","Structure","Purpose","Keys","SortKeys","State","Date","Standardref","comment","IGcomment","map_domain_flag","suppl_qual_flag","include_in_raw","gen_raw_seqno_flag","extended_domain","enrich_build_order"
"Y","HO","Healthcare Encounters","EVENTS","ho.(FileType)","Healthcare Encounters (FileTypeLabel)","One record per healthcare encounter per subject","Tabulation","STUDYID USUBJID HOSTDTC HOTERM",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.2","The Healthcare Encounters dataset includes inpatient and outpatient healthcare events (e.g., hospitalizations, nursing home stay, rehabilitation facility stays, ambulatory surgery).","The Healthcare Encounters (HO) domain generally includes a description of hospitalizations and events such as nursing home stays, rehabilitation facility stays or visits, and emergency department visits. This may include information such as start and end of the stay or the duration of the stay.","Y","Y","Y","Y",,220
"Y","IE","Inclusion/Exclusion Criteria Not Met","FINDINGS","ie.(FileType)","Inclusion/Exclusion Criteria Not Met (FileTypeLabel)","One record per inclusion/exclusion criterion not met per subject","Tabulation","STUDYID USUBJID IECAT IESCAT IETESTCD",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","The intent of the domain model is to only collect those criteria that cause the subject to be in violation of the inclusion/exclusion criteria not a response to each criterion.","CRF data that captures inclusion and exclusion criteria exceptions per subject. All inclusion or exclusion criteria that are violated, should be stored here, even if a sponsor has granted a waiver or if the subject was admitted by mistake. In cases where a CRF may allow a response of ""Not Applicable"" and this is checked, no criteria were violated, so these records would not be in IE.","Y","Y","Y","Y",,525
"Y","IS","Immunogenicity Specimen Assessment","FINDINGS","is.(FileType)","Immunogenicity Specimen Assessment (FileTypeLabel)","One record per test per visit per subject","Tabulation","STUDYID USUBJID ISCAT ISSCAT ISTESTCD ISDTC VISITNUM ISTPTNUM ISTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","It is intended to be used only for data collected regarding the immunogenic potential of materials under study.","The Immunogenicity Specimen Assessments (IS) domain model is intended to be used only for data collected regarding the immunogenic potential of materials under study.","Y","Y","Y","Y",,240
"Y","LB","Laboratory Test Results","FINDINGS","lb.(FileType)","Laboratory Test Results (FileTypeLabel)","One record per analyte per planned time point number per time point reference per visit per subject","Tabulation","STUDYID USUBJID LBCAT LBSCAT LBTESTCD LBSPEC VISITNUM LBTPTNUM LBTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Laboratory test findings including, but is not limited to hematology, clinical chemistry and urinalysis data. This domain does not include microbiology or pharmacokinetic data, which are stored in separate domains.","This domain captures laboratory data collected on the CRF or received from a central provider or vendor","Y","Y","Y","Y","XL",250
"Y","MB","Microbiology Specimen","FINDINGS","mb.(FileType)","Microbiology Specimen (FileTypeLabel)","One record per microbiology specimen finding per time point per visit per subject","Tabulation","STUDYID USUBJID MBCAT MBSCAT MBTESTCD VISITNUM MBTPTNUM MBTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Microbiology specimen findings, including gram stain results, and organisms found.","The MB domain is designed to store microbiology findings that include organisms found, grain stain results and organism growth status.","Y","Y","Y","Y",,260
"Y","MH","Medical History","EVENTS","mh.(FileType)","Medical History (FileTypeLabel)","One record per medical history event per subject","Tabulation","STUDYID USUBJID MHDECOD",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.2","The medical history dataset includes the subject's prior history at the start of the trial. Examples of subject medical history information could include general medical history, gynecological history, and primary diagnosis.","The Medical History dataset generally includes the subject's prior and concomitant conditions at the start of the trial. Examples of subject medical history information could include general medical history and gynecological history. Note that prior and concomitant medications should be submitted in an appropriate dataset from the Interventions class (e.g., CM).","Y","Y","Y","Y",,270
"Y","MI","Microscopic Findings","FINDINGS","mi.(FileType)","Microscopic Findings (FileTypeLabel)","One record per finding per specimen per subject","Tabulation","STUDYID USUBJID MICAT MISCAT MITESTCD MISPEC MIDTC MITPTNUM MITPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Microbiology specimen findings, including gram stain results, and organisms found..","The Microscopic Findings (MI) domian contains microbiology specimen findings, including gram stain results, and organisms found.","Y","Y","Y","Y",,280
,"ML","Meal Data","INTERVENTIONS","ml.(FileType)","Meal Data (FileTypeLabel)","One record per recorded meal per subject","Tabulation","STUDYID USUBJID MLTRT MLDECOD MLSTDTC MLTPTNUM MLTPTREF",,"Final","2016-11-30","TAUG-DIABETES 1.0","The Meal Data domain model reflects collected details describing a subjects food product consumption (Sponsor Defined domain based on TAUG-Diabetes v1).","Sponsor Defined","Y","Y","Y","Y",,600
"Y","MO","Morphology","FINDINGS","mo.(FileType)","Morphology (FileTypeLabel)","One record per Morphology finding per location per time point per visit per subject","Tabulation","STUDYID USUBJID MOCAT MOSCAT MOTESTCD MODTC VISITNUM MOTPTNUM MOLOC MOLAT",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Macroscopic results (e.g. size, shape, color, and abnormalities of body parts or specimens) that are seen by the naked eye or observed via procedures such as imaging modalities, endoscopy, or other technologies. Many morphology results are obtained from a procedure, although information about the procedure may or may not be collected","The Morphology (MO) dataset captures macroscopic results (e.g. size, shape, color, and abnormalities of body parts or specimens) that are seen by the naked eye or observed via procedures such as imaging modalities, endoscopy, or other technologies.","Y","Y","Y","Y",,290
"Y","MS","Microbiology Susceptibility","FINDINGS","ms.(FileType)","Microbiology Susceptibility (FileTypeLabel)","One record per microbiology susceptibility test (or other organism-related finding) per organism found in MB","Tabulation","STUDYID USUBJID MSCAT MSSCAT MSTESTCD VISITNUM MSTPTREF MSTPTNUM MSTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","This includes microbiology susceptibility test results, plus results of any other organism-related tests.","The MS domain is designed to store any findings related to the organisms found and submitted in MB. This will usually consist of susceptibility testing results, but can also be other organism-related findings such as extent of growth of an organism.","Y","Y","Y","Y",,300
,"OE","Ophthalmic Examinations","FINDINGS","oe.(FileType)","Ophthalmic Examinations (FileTypeLabel)","One record per ophthalmic finding per method per location, per time point per visit per subject","Tabulation","STUDYID USUBJID FOCID OECAT OESCAT OETESTCD OEMETHOD OELOC OELAT OEDIR VISITNUM OETPTNUM OETPTREF",,"Final","2019-03-11","SDTMIG 3.3, SECTION 6.3","A Findings domain that contains tests that measure a person's ocular health and visual status, to detect abnormalities in the components of the visual system, and to determine how well the person can see.","A Findings domain that contains tests that measure a person's ocular health and visual status, to detect abnormalities in the components of the visual system, and to determine how well the person can see.","Y","Y","Y","Y",,680
"Y","PC","Pharmacokinetics Concentrations","FINDINGS","pc.(FileType)","Pharmacokinetics Concentrations (FileTypeLabel)","One record per analyte per planned time point number per time point reference per visit per subject","Tabulation","STUDYID USUBJID PCCAT PCSCAT PCTESTCD VISITNUM PCTPTNUM PCTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Concentrations of drugs/metabolites in fluids or tissues as a function of time.","Data collected about tissue (e.g., serum or plasma) concentrations of analytes (usually study drugs and/or their metabolites) as a function of time after dosing the study drug.","Y","Y","Y","Y",,310
"Y","PE","Physical Examination","FINDINGS","pe.(FileType)","Physical Examination (FileTypeLabel)","One record per body system or abnormality per visit per subject","Tabulation","STUDYID USUBJID PECAT PESCAT PETESTCD VISITNUM PETPTNUM PETPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Findings collected during a physical examination of the subject. It has findings that are discovered that are related to body systems. Does not include vital signs measurements, which are stored in the vital signs domain.","Data that captures findings about physical exams. This could be information about which body systems that were examined and specific abnormalities were collected.","Y","Y","Y","Y",,320
,"PF","Pharmacogenomics/Genetics Findings","FINDINGS","pf.(FileType)","Pharmacogenomics/Genetics Findings (FileTypeLabel)","One record per finding per observation per biospecimen per subject","Tabulation","STUDYID USUBJID PFCAT PFSCAT PFTESTCD PFSPEC VISITNUM PFTPTNUM PFTPTREF",,"Final","2019-03-11","PGXIG 1.0","The Pharmacogenomics/Genetics Findings (PF) domain is a findings domain for gene expression and genetic variation assessments.","The Pharmacogenomics/Genetics Findings (PF) domain is a findings domain for gene expression and genetic variation assessments.","Y","Y","Y","Y",,670
"Y","PP","Pharmacokinetics Parameters","FINDINGS","pp.(FileType)","Pharmacokinetics Parameters (FileTypeLabel)","One record per PK parameter per time-concentration profile per modeling method per subject","Tabulation","STUDYID USUBJID PPCAT PPSCAT PPTESTCD PPDTC VISITNUM PPTPTNUM PPTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Pharmacokinetic parameters derived from pharmacokinetic concentration-time (PC) data.","Data describing the parameters of the time-concentration curve for PC data (e.g., area under the curve, Cmax, Tmax).",,,,,,320
"Y","PR","Procedures","INTERVENTIONS","pr.(FileType)","Procedures (FileTypeLabel)","One record per recorded procedure per occurrence per subject","Tabulation","STUDYID USUBJID PRTRT PRSTDTC PRTPTNUM PRTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.1","The Procedures domain model reflects collected details describing a subject?s therapeutic and diagnostic procedures.","The Procedures (PR) domain model reflects collected details describing a subject's therapeutic and diagnostic procedures.","Y","Y","Y","Y",,330
"Y","QS","Questionnaires","FINDINGS","qs.(FileType)","Questionnaires (FileTypeLabel)","One record per questionnaire per question per time point per visit per subject","Tabulation","STUDYID USUBJID QSCAT QSSCAT QSTESTCD VISITNUM QSTPTNUM QSTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Questionnaires are named, stand-alone instruments designed to provide an assessment of a concept. Questionnaires have a defined standard structure, format, and content; consist of conceptually related items that are typically scored; and have documented methods for administration and analysis.","A written or electronic survey instrument comprised of a series of questions, designed to measure a specific item or set of items. Questionnaire data may include, but are not limited to subject reported outcomes and validated or non-validated questionnaires.","Y","Y","Y","Y",,340
,"RE","Respiratory System Findings","FINDINGS","re.(FileType)","Respiratory System Findings (FileTypeLabel)","One record per respiratory system measurement per time point per visit per subject","Tabulation","STUDYID USUBJID RECAT RESCAT RETESTCD REDTC VISITNUM RETPTNUM RETPTREF",,"Final","2016-10-07","TAUG-ASTHMA 1.0","A domain for morphological and physiological findings related to the respiratory system, including the organs that are involved in breathing such as the nose, throat, larynx, trachea, bronchi, and lungs (Sponsor Defined domain based on TAUG-Asthma v1).","Sponsor Defined","Y","Y","Y",,,630
"Y","RP","Reproductive System Findings","FINDINGS","rp.(FileType)","Reproductive System Findings (FileTypeLabel)","One record per Reproductive System Finding per time point per visit per subject","Tabulation","STUDYID USUBJID RPCAT RPSCAT RPTESTCD RPDTC VISITNUM RPTPTNUM RPTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","The Reproductive System Findings domain captures all Reproductive information related to a subject","The Reproductive System Findings (RP) domain captures all Reproductive information related to a subject","Y","Y","Y","Y",,350
"Y","RS","Disease Response and Clin Classification","FINDINGS","rs.(FileType)","Disease Response and Clin Classification (FileTypeLabel)","One record per response assessment per visit per subject per assessor","Tabulation","STUDYID USUBJID RSCAT RSSCAT RSTESTCD RSEVAL RSDTC RSTPTNUM RSTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","The Disease Response (RS) domain represents the response evaluation(s) determined from the data in TR. Data from other sources (in other SDTM domains) might also be used in an assessment of response.","The Disease Response (RS) domain represents the response evaluation(s) determined from the data in TR. Data from other sources (in other SDTM domains) might also be used in an assessment of response for example, lab test results (LB) or symptoms.","Y","Y","Y","Y",,360
"Y","SC","Subject Characteristics","FINDINGS","sc.(FileType)","Subject Characteristics (FileTypeLabel)","One record per characteristic per subject","Tabulation","STUDYID USUBJID SCCAT SCSCAT SCTESTCD",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","The subject characteristics domain is for data not collected in other domains that is subject-related.","Subject Characteristics is for data not collected in other domains that are subject-related. Examples: subject initials, eye color, childbearing status, etc.","Y","Y","Y","Y",,370
"Y","SE","Subject Elements","SPECIAL PURPOSE DOMAINS","se.(FileType)","Subject Elements (FileTypeLabel)","One record per actual element per subject","Tabulation","STUDYID USUBJID SESTDTC SEENDTC ETCD",,"Final","2013-11-26","SDTMIG 3.2, SECTION 5","The subject element table describes the actual order of elements followed by the subject, together with the start date/time and end date/time for each element.","The Subject Elements domain allows the submission of data on the timing of the trial Elements a subject actually passed through in their participation in the trial.",,,,,,50
"Y","SR","Skin Response","FINDINGS ABOUT","sr.(FileType)","Skin Response (FileTypeLabel)","One record per test per visit per subject","Tabulation","STUDYID USUBJID SRCAT SRSCAT SRTESTCD SROBJ SRDTC VISITNUM SRTPTNUM SRTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.4","The Skin Response (SR) is the first implementation of the Findings About concept that is Findings About an Intervention and uses a different domain code instead of FA.","The Skin Response (SR) domain is a Findings About domain used to submit dermal responses to antigens. The method of assessment is typically a skin-prick test.","Y","Y","Y","Y",,380
"Y","SS","Subject Status","FINDINGS","ss.(FileType)","Subject Status (FileTypeLabel)","One record per finding per visit per subject","Tabulation","STUDYID USUBJID SSCAT SSSCAT SSTESTCD SSDTC VISITNUM SSTPTNUM SSTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Subject Status is for data relating to general subject characteristics that are evaluated periodically to determine if they have changed.","The Subject Status (SS) domain is for data relating to general subject characteristics that are evaluated periodically to determine if they have changed.","Y","Y","Y","Y",,390
"Y","SU","Substance Use","INTERVENTIONS","su.(FileType)","Substance Use (FileTypeLabel)","One record per substance type per reported occurrence per subject","Tabulation","STUDYID USUBJID SUTRT SUSTDTC SUTPTNUM SUTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.1","The intent of the domain is to capture substance use information that may be used to assess the efficacy and/or safety of therapies that look to mitigate the effects of chronic substance use.","The intent of the domain is to capture substance use information that may be used to assess the efficacy and/or safety of therapies that look to mitigate the effects of chronic substance use, or that could be used as covariates in other efficacy and/or safety analyses.","Y","Y","Y","Y",,400
"Y","SV","Subject Visits","SPECIAL PURPOSE DOMAINS","sv.(FileType)","Subject Visits (FileTypeLabel)","One record per actual visit per subject","Tabulation","STUDYID USUBJID VISITNUM",,"Final","2013-11-26","SDTMIG 3.2, SECTION 5","The subject visits table describes the actual start and end data/time for each visit of each individual subject.","The Subject Visits domain allows the submission of data on the timing of the trial visits a subject actually passed through in their participation in the trial.","Y",,"Y","Y",,410
"Y","TA","Trial Arms","TRIAL DESIGN","ta.(FileType)","Trial Arms (FileTypeLabel)","One record per planned element per arm","Tabulation","STUDYID ARMCD TAETORD",,"Final","2013-11-26","SDTMIG 3.2, SECTION 7.2","The trial arms table describes each planned arm in the trial. An arm is described as an ordered sequence of elements.","The Trial Arms dataset provides a record of the complete planned sequence of Elements for each Arm.",,,,,,40
"Y","TD","Trial Disease Assessments","TRIAL DESIGN","td.(FileType)","Trial Disease Assessments (FileTypeLabel)","One record per planned constant assessment period","Tabulation","STUDYID TDORDER",,"Final","2013-11-26","SDTMIG 3.2, SECTION 7.3","The Trial Disease Assessments (TD) domain provides information on the protocol-specified disease assessment schedule, and is used for comparison with the actual occurrence of the efficacy assessments in order to determine whether there was good compliance with the schedule.","The Trial Disease Assessments (TD) domain provides information on the protocol-specified disease assessment schedule, and is used for comparison with the actual occurrence of the efficacy assessments in order to determine whether there was good compliance with the schedule.",,,,,,510
"Y","TE","Trial Elements","TRIAL DESIGN","te.(FileType)","Trial Elements (FileTypeLabel)","One record per planned element","Tabulation","STUDYID ETCD",,"Final","2013-11-26","SDTMIG 3.2, SECTION 7.2","Elements are the building blocks of Arms. Arms consisting of Elements are the paths subjects will follow throughout a trial. All Elements are related to study treatment. Therefore, an Element is defined by the treatment (or lack of treatment) to be administered to subjects during the Element, as well as the planned duration or start/end rules of the Element.","Elements are the building blocks of Arms. Arms consisting of Elements are the paths subjects will follow throughout a trial. All Elements are related to study treatment. Therefore, an Element is defined by the treatment (or lack of treatment) to be administered to subjects during the Element, as well as the planned duration or start/end rules of the Element.",,,,,,30
"Y","TI","Trial Inclusion/Exclusion Criteria","TRIAL DESIGN","ti.(FileType)","Trial Inclusion/Exclusion Criteria (FileTypeLabel)","One record per I/E criterion","Tabulation","STUDYID TIVERS IECAT IESCAT IETESTCD",,"Final","2013-11-26","SDTMIG 3.2, SECTION 7.4","The Trial Inclusion Exclusion (TI) dataset is not subject oriented. It contains all the inclusion and exclusion criteria for the trial, and thus provides information that may not be present in the subject-level data on inclusion and exclusion criteria. The IE domain (described in Section 6.3 - IE Domain) contains records only for inclusion and exclusion criteria that subjects did not meet.","The Trial Inclusion Exclusion (TI) dataset is not subject oriented. It contains all the inclusion and exclusion criteria for the trial, and thus provides information that may not be present in the subject-level data on inclusion and exclusion criteria.",,,,,,520
"Y","TR","Tumor Results","FINDINGS","tr.(FileType)","Tumor Results (FileTypeLabel)","One record per tumor measurement/assessment per visit per subject per assessor","Tabulation","STUDYID USUBJID TRTESTCD TRLNKID TREVAL VISITNUM TRTPTNUM TRTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","The Tumor Response (TR) represents quantitative measurements and/or qualitative assessments of the tumors identified in the TU domain. These measurements are usually taken at baseline and then at each subsequent assessment to support response evaluations.","The Tumor Results (TR) domain represents quantitative measurements and/or qualitative assessments of the tumors identified in the TU domain. These measurements are usually taken at baseline and then at each subsequent assessment to support response evaluations.","Y","Y","Y","Y",,420
"Y","TS","Trial Summary","TRIAL DESIGN","ts.(FileType)","Trial Summary (FileTypeLabel)","One record per trial summary parameter value","Tabulation","STUDYID TSPARMCD TSSEQ",,"Final","2013-11-26","SDTMIG 3.2, SECTION 7.4","The Trial Summary (TS) dataset allows the sponsor to submit a summary of the trial in a structured format. Each record in the Trial Summary dataset contains the value of a parameter, a characteristic of the trial. For example, Trial Summary is used to record basic information about the study such as trial phase, protocol title, and trial objectives. The Trial Summary dataset contains information about the planned and actual trial characteristics.","The intent of this dataset is to provide a summary of trial information. This is not subject level data.",,,,,,30000
"Y","TU","Tumor Identification","FINDINGS","tu.(FileType)","Tumor Identification (FileTypeLabel)","One record per identified tumor per subject per assessor","Tabulation","STUDYID USUBJID TUTESTCD TULNKID TUEVAL VISITNUM TUTPTNUM TUTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","The Tumor Identification (TU) domain represents data that uniquely identifies tumors. The tumors are identified by an investigator and/or independent assessor and classified according to the disease assessment criteria.","The Tumor Identification (TU) domain represents data that uniquely identifies tumors. The tumors are identified by an investigator and/or independent assessor and classified according to the disease assessment criteria.","Y","Y","Y","Y",,430
"Y","TV","Trial Visits","TRIAL DESIGN","tv.(FileType)","Trial Visits (FileTypeLabel)","One record per planned visit per arm","Tabulation","STUDYID VISITNUM ARMCD",,"Final","2013-11-26","SDTMIG 3.2, SECTION 7.3","The Trial Visits (TV) dataset describes the planned Visits in a trial. Visits are defined as ""clinical encounters"" and are described using the timing variables VISIT, VISITNUM, and VISITDY. Protocols define Visits in order to describe assessments and procedures that are to be performed at the Visits.","The Trial Visits (TV) dataset describes the planned Visits, or ""clinical encounters"", in a trial.",,,,,,20
"Y","VS","Vital Signs","FINDINGS","vs.(FileType)","Vital Signs (FileTypeLabel)","One record per vital sign measurement per time point per visit per subject","Tabulation","STUDYID USUBJID VSCAT VSSCAT VSTESTCD VISITNUM VSTPTNUM VSTPTREF",,"Final","2013-11-26","SDTMIG 3.2, SECTION 6.3","Measurements including but not limited to blood pressure, temperature, respiration, body surface area, BMI, height and weight.","CRF data that captures measurements such as blood pressure, height, weight, pulse, and body temperature, or derived data such as body mass index.","Y","Y","Y","Y","XV",440
,"XA","Physical Activity","FINDINGS","xa.(FileType)","Physical Activity (FileTypeLabel)","One record per activity per visit per subject","Tabulation","STUDYID USUBJID XACAT XASCAT XATESTCD XADTC VISITNUM XATPTNUM XATPTREF",,"Final","2016-10-07",,"A domain for questions related to a subjects dietary pattern and physical activity (Sponsor defined domain).","Sponsor Defined","Y","Y","Y",,,640
,"XB","Bleeding Events","EVENTS","xb.(FileType)","Bleeding Events (FileTypeLabel)","One record per bleeding episode event per subject","Tabulation","STUDYID USUBJID XBSTDTC XBTERM",,"Final","2019-10-07",,"A domain to capture symptoms and triggers that are used to characterize and classify bleeding events (Sponsor defined domain).","Sponsor Defined","Y","Y","Y","Y",,690
,"XH","Hypoglycaemic Events","EVENTS","xh.(FileType)","Hypoglycaemic Events (FileTypeLabel)","One record per hypoglycaemic episode event per subject","Tabulation","STUDYID USUBJID XHSTDTC XHTERM",,"Final","2016-08-03",,"A domain to capture symptoms and triggers that are used to characterize and classify Hypoglycaemic events (Sponsor defined domain).","Sponsor Defined","Y","Y","Y","Y",,450
,"XR","Hyperglycaemic Events","EVENTS","xr.(FileType)","Hyperglycaemic Events (FileTypeLabel)","One record per hyperglycaemic episode event per subject","Tabulation","STUDYID USUBJID XRSTDTC XRTERM",,"Final","2016-10-07",,"A domain to capture symptoms and triggers that are used to characterize and classify Hyperglycaemic events (Sponsor defined domain).","Sponsor Defined","Y","Y","Y",,,650
,"XS","Polysomnography Data","FINDINGS","xs.(FileType)","Polysomnography Data (FileTypeLabel)","One record per polysomnography per visit per subject","Tabulation","STUDYID USUBJID XSCAT XSSCAT XSTESTCD XSDTC VISITNUM XSTPTNUM XSTPTREF",,"Final","2016-10-07",,"Findings from diagnostic sleep tests (polysomnography) (Sponsor defined domain).","Sponsor Defined","Y","Y","Y",,,660
,"ZA","Event Adjudication Results","FINDINGS ABOUT","za.(FileType)","Event Adjudication Results (FileTypeLabel)","One record per event adjudication result per subject","Tabulation","STUDYID USUBJID ZACAT ZASCAT ZATESTCD ZAOBJ VISITNUM ZATPTNUM ZATPTREF",,"Final","2017-12-01",,"A domain to capture adjudication event results (Sponsor defined domain).","Sponsor Defined","Y","Y","Y","Y",,460
,"ZE","Event Related Treatments","INTERVENTIONS","ze.(FileType)","Event Related Treatments (FileTypeLabel)","One record per event related treatment collected per subject","Tabulation","STUDYID USUBJID ZETRT ZECAT ZESCAT ZEMOOD ZESTDTC ZETPTNUM ZETPTREF",,"Final","2021-03-04",,"A domain to capture event related treatments (Sponsor defined domain).","Sponsor Defined","Y","Y","Y","Y",,181
,"ZL","Laboratory Test Results-SI Units","FINDINGS","zl.(FileType)","Laboratory Test Results-SI Units (FileTypeLabel)","One record per analyte per planned time point number per time point reference per visit per subject","Tabulation","STUDYID USUBJID LBCAT LBSCAT LBTESTCD LBSPEC VISITNUM LBTPTNUM LBTPTREF",,"Final","2018-06-01","SDTMIG 3.2, SECTION 6.3","Laboratory test findings including, but is not limited to hematology, clinical chemistry and urinalysis data. This domain does not include microbiology or pharmacokinetic data, which are stored in separate domains.","This domain captures laboratory data collected on the CRF or received from a central provider or vendor",,"Y",,,,10034
,"ZV","Vital Signs-SI Units","FINDINGS","zv.(FileType)","Vital Signs-SI Units (FileTypeLabel)","One record per vital sign measurement per time point per visit per subject","Tabulation","STUDYID USUBJID VSCAT VSSCAT VSTESTCD VISITNUM VSTPTNUM VSTPTREF",,"Final","2018-06-01","SDTMIG 3.2, SECTION 6.3","Measurements including but not limited to blood pressure, temperature, respiration, body surface area, BMI, height and weight.","CRF data that captures measurements such as blood pressure, height, weight, pulse, and body temperature, or derived data such as body mass index.",,"Y",,,,10054
